hip,hd,proper,bf,bayer,flam,con,ra_deg,dec,mag,ci,spect,dist
27046,37638,"",23    Cam,"",23,Cam,86.03523,61.476536,6.17,0.902,G5III:,110.9878
27072,38393,"",13Gam Lep,Gam,13,Lep,86.115855,-22.448382,3.59,0.481,F7V,8.927
27075,38382,"","","","",Lep,86.11831500000001,-20.126573,6.34,0.58,F8/G0V,25.5428
27100,39014,"",Del Dor,Del,"",Dor,86.193345,-65.735526,4.34,0.217,A7V,45.8716
27116,38263,"","","","",Tau,86.25537,12.888332,6.47,0.234,A3,108.5776
27118,38309,"","","","",Ori,86.25747000000001,4.008111,6.09,0.32,F0III:n,58.8582
27164,38200,"","","","",Aur,86.37331499999999,31.324825,6.5,1.1,K0,230.9469
27196,38104,"",27Omi Aur,Omi,27,Aur,86.47518,49.826255,5.46,0.03,A0p...,126.7427
27204,38666,"",Mu  Col,Mu,"",Col,86.499555,-32.306435,5.18,-0.274,B1IV/V,408.1633
27212,38495,"","","","",Ori,86.511945,-4.268484,6.24,1.05,K1III...,111.4827
27243,38871,"","","","",Pic,86.61404999999999,-46.59718,5.31,1.04,K0/K1II,143.8849
27249,38091,"",26    Cam,"",26,Cam,86.62659000000001,56.115575,5.93,0.164,A4Vn,60.7903
27253,38529,"","","","",Ori,86.64546,1.168193,5.95,0.773,G4V,39.2773
27265,38478,"",129    Tau,"",129,Tau,86.689575,15.822497,6.0,-0.061,B8IIIMNp...,225.2252
27280,38527,"","","","",Ori,86.717235,9.522343,5.78,0.888,G8III,91.3242
27288,38678,"",14Zet Lep,Zet,14,Lep,86.738925,-14.82195,3.55,0.104,A2Vann,21.6076
27293,38229,"","","","",Aur,86.75019,51.520871,6.47,0.898,G5,155.7632
27303,38804,"","","","",Col,86.769075,-28.638913,6.22,-0.132,B5III,230.4147
27308,38713,"","","","",Lep,86.782515,-16.238079,6.18,0.892,G8III,223.7136
27316,38545,"",131    Tau,"",131,Tau,86.804805,14.488322,5.72,0.077,A3Vn,104.1667
27317,39110,"","","","",Pic,86.80554,-54.360728,6.19,1.406,K3III,381.6794
27319,38358,"","","","",Aur,86.81118,42.526748,6.3,1.354,K0,180.1802
27321,39060,"",Bet Pic,Bet,"",Pic,86.821185,-51.066514,3.85,0.171,A3V,19.4401
27325,38885,"","","","",Col,86.82786,-35.674075,6.29,1.191,K1III,162.6016
27338,38558,"",130    Tau,"",130,Tau,86.85915,17.729141,5.47,0.301,F0III,546.4481
27341,38735,"","","","",Ori,86.86204500000001,-10.532958,6.04,0.135,A4V,204.918
27346,38058,"","","","",Cam,86.88436499999999,63.598848,6.49,1.01,G5,145.7726
27353,38524,"","","","",Tau,86.894445,25.568623,6.48,1.193,K1III,250.0
27364,38622,"",133    Tau,"",133,Tau,86.92877999999999,13.899599,5.28,-0.156,B2IV-V,194.1748
27366,38771,Saiph,53Kap Ori,Kap,53,Ori,86.939115,-9.669605,2.07,-0.168,B0.5Iavar,198.4127
27386,38710,"",52    Ori,"",52,Ori,87.000975,6.454156,5.26,0.234,A5V,165.0165
27421,38670,"","","","",Tau,87.093195,20.869481,6.03,-0.051,B9Vn,167.5042
27435,38858,"","","","",Ori,87.14559,-4.094648,5.97,0.639,G4V,15.1768
27468,38751,"",132    Tau,"",132,Tau,87.254025,24.567535,4.88,1.021,G8IIIvar,111.4827
